,number_of_operators,number_of_available_trolleys,serving_customer,describe_the_accident,maximum_number_of_vehicles_in_the_traffic_jam,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,arrival_of_the_freight_vehicle,plates,company_if_visible,visit_purpose,type_of_vehicle,picture_of_the_parked_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,garage_blocking,accident,noise,traffic_congestion
156,2.0,0.0,0,0,0,"47 Avenida Citlaltépetl
Puebla de Zaragoza PUE 72210
MX",2022-11-09 20:37:51 UTC,Pedro Contreras,SRID=4326;POINT(-98.1735500735 19.0744410853),19.07444109,-98.17355007,14:35,239-DV-3,Pitic,Sales & delivery,Heavy duty truck,https://web.fulcrumapp.com/photos/view?photos=99af1b0e-b63a-4e67-b1b3-f8d1df5ee915,Street - next to the curbside,no,no,Rear,yes,no,no,no
157,0,0.0,0,0,0,"65 Calle General Lázaro Cárdenas
Puebla de Zaragoza PUE 72210
MX",2022-11-09 20:35:07 UTC,Pedro Contreras,SRID=4326;POINT(-98.172453718 19.0744117775),19.07441178,-98.17245372,14:18,758-DE-7,Grumavy,Delivery,Heavy duty truck,https://web.fulcrumapp.com/photos/view?photos=fe809634-373c-480c-8e88-e7a4cb528c7a,Street - next to the curbside,no,no,Rear,yes,no,no,no
158,1.0,0.0,0,0,0,"1–27 Avenida Malintzi
Puebla de Zaragoza PUE 72210
MX",2022-11-09 20:27:08 UTC,Pedro Contreras,SRID=4326;POINT(-98.1708208659 19.0761653055),19.07616531,-98.17082087,14:24,XE-6383-A,Fastenal,Sales (usually small car or motorcycle),Pick-up,https://web.fulcrumapp.com/photos/view?photos=9ea13715-d8d1-47d8-a5a0-de6ab7f39856,Street - next to the curbside,no,no,Rear,no,no,no,no
159,1.0,0.0,0,0,0,"2213 Calle Cordillera Central
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:58:55 UTC,Pedro Contreras,SRID=4326;POINT(-98.1672783383 19.0721686464),19.07216865,-98.16727834,12:51,TNH-542-B,0,Sales & delivery,Automobile,https://web.fulcrumapp.com/photos/view?photos=5ec33622-21f7-4e55-8e4a-7e92cc40fcfd,Street - next to the curbside,no,no,Rear,yes,no,no,no
160,1.0,0.0,0,0,0,"2218–2234 Calle Cordillera Central
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:48:24 UTC,Pedro Contreras,SRID=4326;POINT(-98.1669909229 19.0719752759),19.07197528,-98.16699092,12:40,XWA-636-A,Coca-Cola,Sales (usually small car or motorcycle),Automobile,https://web.fulcrumapp.com/photos/view?photos=00bc6ac8-a514-436b-b9cb-81fb53e5f71e,Street - next to the curbside,no,no,Side,no,no,no,no
161,1.0,0.0,0,0,0,"9006 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:39:13 UTC,Pedro Contreras,SRID=4326;POINT(-98.1665766892 19.0720751882),19.07207519,-98.16657669,12:32,SN-29-824,0,Sales & delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=296cea02-ed2f-4abb-a559-d405a81adc9f,Street - next to the curbside,no,no,Rear,no,no,no,no
162,2.0,1.0,0,0,0,"2218–2234 Calle Cordillera Central
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:34:06 UTC,Eduardo Zárate,SRID=4326;POINT(-98.166975953 19.071961034),19.07196103,-98.16697595,12:24,WZ-5819-A,0,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=3da838d7-d886-4717-872d-7a06259a312e,Street - next to the curbside,no,no,Side,no,no,no,no
163,1.0,0.0,0,0,0,"9002–9026 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:13:31 UTC,Pedro Contreras,SRID=4326;POINT(-98.1667017056 19.071999466),19.07199947,-98.16670171,12:04,9.61E+05,JUMEX,Sales & delivery,Motorcycle,https://web.fulcrumapp.com/photos/view?photos=bf7f759b-5dc2-45fd-aa68-3a10fdeb5986,Street - next to the curbside,no,no,Side,no,no,no,no
164,1.0,0.0,0,0,0,"8811A Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:08:28 UTC,Diego Galicia Lugo,SRID=4326;POINT(-98.1677300391 19.0706946049),19.0706946,-98.16773004,11:47,SN-29-117,Pringles,Sales & delivery,SUV,https://web.fulcrumapp.com/photos/view?photos=d00d6154-c143-4d0b-a7d3-3f9f5b5ed94c,Street - next to the curbside,no,no,Rear,yes,no,no,no
165,2.0,0.0,0,0,0,"2034B Calle Cordillera de los Alpes
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 17:39:27 UTC,Alejandro Matias,SRID=4326;POINT(-98.1676052 19.0754693),19.0754693,-98.1676052,10:45,XY-38-302,Pepsi,Sales & delivery,Heavy duty truck,https://web.fulcrumapp.com/photos/view?photos=f44977ec-0293-43de-b692-d666538fcdfb,Street - next to the curbside,no,no,Side,yes,no,no,no
166,1.0,0.0,0,0,0,"9022 Sierra Morena
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 17:39:26 UTC,Alejandro Matias,SRID=4326;POINT(-98.1656903 19.0724087),19.0724087,-98.1656903,10:44,SN-17-510,Danone,Sales & delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=ddf0e5f5-d10d-4fe8-8365-191a67ee1c58,Street - next to the curbside,no,no,Rear,no,no,no,no
167,2.0,1.0,0,0,0,"2421 Cord. del Pindo
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 17:39:26 UTC,Alejandro Matias,SRID=4326;POINT(-98.1667233 19.0701709),19.0701709,-98.1667233,10:23,No,Coca Cola,Delivery,Heavy duty truck,https://web.fulcrumapp.com/photos/view?photos=709d76d0-6152-4009-bb36-c768dbdfefdc,Street - next to the curbside,no,no,Side,yes,no,no,no
168,1.0,0.0,0,0,0,"9002 Avenida Montes Urales
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 17:39:25 UTC,Alejandro Matias,SRID=4326;POINT(-98.166637 19.0718907),19.0718907,-98.166637,09:37,23J 237,Lala,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=8433af3d-c700-40f3-8c36-881d83b173a0,Street - next to the curbside,no,no,Rear,no,no,no,no
169,1.0,0.0,0,0,0,"Avenida Unidad Deportiva
Puebla de Zaragoza PUE 72220
MX",2022-11-09 17:27:16 UTC,Pedro Contreras,SRID=4326;POINT(-98.1643093243 19.0733588603),19.07335886,-98.16430932,11:24,TZW-91-27,NONE,Sales & delivery,Automobile,https://web.fulcrumapp.com/photos/view?photos=241cfbf3-d075-4627-a43a-cde8401c812c,Street - next to the curbside,no,no,Rear,no,no,no,no
170,1.0,0.0,0,0,0,"2404 Calle Cordillera de los Balcanes
Puebla de Zaragoza PUE 72220
MX",2022-11-09 16:51:26 UTC,Pedro Contreras,SRID=4326;POINT(-98.1659305166 19.0726300372),19.07263004,-98.16593052,10:44,TE-5804-G,La Costeña,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=1c992be7-6d86-4f19-a44c-871b62378f3f,Street - next to the curbside,no,no,Side,no,no,no,no
171,1.0,1.0,0,0,0,"9053–9057 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 16:30:44 UTC,Eduardo Zárate,SRID=4326;POINT(-98.1653153945 19.073614697),19.0736147,-98.16531539,10:18,SN-29-117,Crunch-It,Delivery,Pick-up,https://web.fulcrumapp.com/photos/view?photos=51498804-7b45-4aeb-b677-6a31427a5c5f,Street - next to the curbside,no,no,Rear,no,no,no,no
172,2.0,1.0,0,0,0,"9053–9057 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 16:30:44 UTC,Eduardo Zárate,SRID=4326;POINT(-98.1652930197 19.0736508138),19.07365081,-98.16529302,10:16,23J-237,LaLa,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=68f7e322-bea4-4665-9ad9-0ecd3d3e858f,Street - next to the curbside,no,no,Rear,no,no,no,no
173,1.0,0.0,0,0,0,"2404 Calle Cordillera Central
Puebla de Zaragoza PUE 72220
MX",2022-11-09 15:42:16 UTC,Eduardo Zárate,SRID=4326;POINT(-98.1667056879 19.071857551),19.07185755,-98.16670569,09:36,SN-17-510,Danone,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=4565a601-6eca-492e-87f4-ac3c31123969,Street - next to the curbside,no,no,Rear,no,no,no,no
174,2.0,1.0,0,0,0,"84 Avenida Teziutlán Norte
Puebla de Zaragoza PUE 72160
MX",2022-11-07 22:41:09 UTC,Jorge Alberto Ostorga Flores,SRID=4326;POINT(-98.2254263603 19.0581423267),19.05814233,-98.22542636,15:15,SM46579,no,Delivery,Pick-up,https://web.fulcrumapp.com/photos/view?photos=7d9195db-5b27-4b42-ada3-59cf3bce75f8,Street - next to the curbside,no,no,Rear,yes,no,no,no
175,1.0,0.0,0,0,0,"6 Avenida 5 Poniente
Puebla PUE 72000
MX",2022-11-03 17:54:57 UTC,José Oropeza,SRID=4326;POINT(-98.2005907028 19.0435135414),19.04351354,-98.2005907,11:32,TTV-378-A,0,Delivery,Automobile,https://web.fulcrumapp.com/photos/view?photos=b46cc2aa-00a1-4243-b765-6c4f5eca885d,Street - next to the curbside,no,no,Rear,no,no,no,no
176,2.0,1.0,0,0,0,0,2022-11-03 17:54:57 UTC,José Oropeza,SRID=4326;POINT(-98.1959056349 19.0441463323),19.04414633,-98.19590563,10:55,SP-38-651,0,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=790e866b-8830-498c-a439-4b93f72960f2,Street - next to the curbside,no,no,Rear,no,no,no,no
177,1.0,0.0,0,0,0,0,2022-11-03 17:54:56 UTC,José Oropeza,SRID=4326;POINT(-98.194933077 19.043612116),19.04361212,-98.19493308,10:36,HL-3785-F,0,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=2081172c-5f22-42d8-9524-da21c5b20f7b,Street - next to the curbside,no,no,Rear,no,no,no,no
178,1.0,0.0,0,0,0,0,2022-11-03 17:54:56 UTC,José Oropeza,SRID=4326;POINT(-98.1948560508 19.0436070826),19.04360708,-98.19485605,10:33,SP-29-798,0,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=432e2910-5129-476d-8d4f-cb4bca0f74c0,Street - next to the curbside,no,no,Side,no,no,no,no
179,1.0,1.0,0,0,0,"406-B Avenida 2 Oriente
Puebla PUE 72000
MX",2022-11-03 17:54:44 UTC,Emilio Garza,SRID=4326;POINT(-98.1945033093 19.043335537),19.04333554,-98.19450331,11:19,05-AP-6G,Infra,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=216d8c30-e7b2-487d-a89b-f2282894f790,Street - next to the curbside,no,no,Rear,no,no,no,no
180,2.0,0.0,0,0,0,"402E Avenida 2 Oriente
Puebla PUE 72000
MX",2022-11-03 17:14:09 UTC,Emilio Garza,SRID=4326;POINT(-98.1948728731 19.0435760418),19.04357604,-98.19487287,11:03,LE-88-707,Alpura ,Delivery,Pick-up,https://web.fulcrumapp.com/photos/view?photos=1ff24d89-7c85-4ccb-accf-7787effa3dbb,Street - next to the curbside,no,no,Rear,no,no,no,no
181,2.0,1.0,0,0,0,"402 Avenida 2 Oriente
Puebla PUE 72000
MX",2022-11-03 17:14:09 UTC,Emilio Garza,SRID=4326;POINT(-98.1949010531 19.043589516),19.04358952,-98.19490105,11:00,HL-3785-F,Bimbo,Delivery,Pick-up,https://web.fulcrumapp.com/photos/view?photos=5080470b-b7fa-4017-8066-ea5cd938bbfd,Street - next to the curbside,yes,no,Rear,no,no,no,no
