,number_of_operators,number_of_available_trolleys,serving_customer,describe_the_accident,maximum_number_of_vehicles_in_the_traffic_jam,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,arrival_of_the_freight_vehicle,plates,company_if_visible,visit_purpose,type_of_vehicle,picture_of_the_parked_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,garage_blocking,accident,noise,traffic_congestion
121,1.0,1.0,0,0,0,"720 Calle Orión Norte
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:25 UTC,Adriel Antonio Huerta Vidal,SRID=4326;POINT(-98.258336 19.027931),19.027931,-98.258336,10:33,GJZ2J,0,Sales (usually small car or motorcycle),Motorcycle,"https://web.fulcrumapp.com/photos/view?photos=76272814-8b16-4d4d-8728-177258a183d1,f811e5fe-79e9-439e-88fe-12585dad958d",Street - next to the curbside,no,yes,Rear,no,no,no,no
122,1.0,0.0,0,0,0,"966 Calle Orión Norte
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:25 UTC,Adriel Antonio Huerta Vidal,SRID=4326;POINT(-98.2614064 19.0240386),19.0240386,-98.2614064,10:48,GJK71A,0,Sales (usually small car or motorcycle),Motorcycle,https://web.fulcrumapp.com/photos/view?photos=2eb997b3-6629-48d8-9435-d3efb5bf675d,Street - next to the curbside,no,no,Side,no,no,no,no
123,1.0,0.0,0,0,0,"6 Avenida Orion Norte
Tlaxcalancingo Puebla 72197
México",2022-11-09 23:59:24 UTC,Adriel Antonio Huerta Vidal,SRID=4326;POINT(-98.2614156 19.0239537),19.0239537,-98.2614156,10:46,1H3YD,0,Sales (usually small car or motorcycle),Motorcycle,https://web.fulcrumapp.com/photos/view?photos=2f9a9456-791e-4dbb-a0ee-6a679a620060,Street - next to the curbside,no,no,Side,no,no,no,no
124,2.0,1.0,0,0,0,"11 Serafines
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:24 UTC,Adriel Antonio Huerta Vidal,SRID=4326;POINT(-98.2610514 19.0246879),19.0246879,-98.2610514,09:10,SN-77-136,0,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=215a5718-c2a9-4917-84fa-f1c21b29a405,Street - next to the curbside,no,no,Rear,no,no,no,no
125,2.0,1.0,0,0,0,"10 Boulevard Licenciado G. Díaz Ordaz
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:23 UTC,Adriel Antonio Huerta Vidal,SRID=4326;POINT(-98.2608733 19.0223633),19.0223633,-98.2608733,10:57,SC-1394-C,0,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=e3f3c030-a405-45ea-a950-c7fcad6237f2,Street - next to the curbside,yes,no,Rear,no,no,yes,no
126,2.0,0.0,0,0,0,"4B Boulevard Licenciado G. Díaz Ordaz
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:23 UTC,Adriel Antonio Huerta Vidal,SRID=4326;POINT(-98.2605816 19.022034),19.022034,-98.2605816,10:58,XL-6899-A,0,Delivery,Automobile,https://web.fulcrumapp.com/photos/view?photos=5b70cc55-fc8e-423f-8564-a34b0963c717,Street - next to the curbside,yes,no,Rear,no,no,yes,yes
127,0,2.0,0,0,0,"1 Uc II
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:22 UTC,Adriel Antonio Huerta Vidal,SRID=4326;POINT(-98.2605728 19.022007),19.022007,-98.2605728,09:10,SN-77-820,0,Delivery,Automobile,https://web.fulcrumapp.com/photos/view?photos=b9a2982d-2fe3-4fe3-b664-84670f689b57,Street - next to the curbside,no,no,Rear,no,no,no,no
128,3.0,2.0,0,0,0,"4 Querubines
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:22 UTC,Adriel Antonio Huerta Vidal,SRID=4326;POINT(-98.2604477 19.0220533),19.0220533,-98.2604477,10:56,OPU-213,0,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=6e79234b-9d70-4cf7-971c-25b0205637a6,Street - next to the curbside,yes,no,Side,no,no,yes,no
129,2.0,0.0,0,0,0,"15 San Martín Texmelucan
Heroica Puebla de Zaragoza Puebla 72160
Mexico",2022-11-09 23:58:28 UTC,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2280428 19.059749),19.059749,-98.2280428,09:15,No disponible ,No,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=a40cf3d4-c4b8-44e1-bb42-289691a21dfb,Street - next to the curbside,yes,no,Rear,no,no,no,no
130,1.0,2.0,0,0,0,"130 Calle 55 Sur
Heroica Puebla de Zaragoza Puebla 72160
Mexico",2022-11-09 23:58:28 UTC,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2346855 19.0626148),19.0626148,-98.2346855,09:00,Xx54116,Pepsi,Delivery,Heavy duty truck,"https://web.fulcrumapp.com/photos/view?photos=0c00a4e2-acaf-4332-8862-a1bfd5ccd499,71cb137e-77da-49ea-b865-6eda3a51d20d",Street - next to the curbside,no,no,Side,no,no,no,no
131,2.0,0.0,0,0,0,"23 Calle Oriental
Heroica Puebla de Zaragoza Puebla 72160
Mexico",2022-11-09 23:58:27 UTC,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2320416 19.0565655),19.0565655,-98.2320416,08:55,SH61529,Astrett,Sales (usually small car or motorcycle),Pick-up,"https://web.fulcrumapp.com/photos/view?photos=6b19dfb9-498c-4c8b-ac0c-500d8895c498,bd1dec23-112b-4329-906f-1795368869a6",Store's garage,no,no,Rear,no,no,no,no
132,2.0,0.0,0,0,0,"no. 85 Avenida Teziutlan Norte
Heroica Puebla de Zaragoza Puebla 72160
Mexico",2022-11-09 23:58:26 UTC,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2294284 19.0578975),19.0578975,-98.2294284,08:01,22J 221,Lala,Delivery,Light truck or Van,"https://web.fulcrumapp.com/photos/view?photos=74ba2ea2-b1d7-409f-b337-fd1e6b242949,193d2f14-b2db-4689-85e4-d22b69f6888a",Public parking lot,no,no,Side,no,no,no,no
133,2.0,0.0,0,0,0,"9005 Calle Sierra de Guadarrama
Puebla PUE 72220
MX",2022-11-09 23:19:15 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1646579877 19.0703939264),19.07039393,-98.16465799,12:00,SN-21-441,0,Delivery,Pick-up,https://web.fulcrumapp.com/photos/view?photos=a4ed5227-f1ed-4bc6-b94d-d96af5acd02a,Street - next to the curbside,no,no,Rear,no,no,yes,no
134,2.0,2.0,0,0,0,"9013 Calle Sierra de los Pirineos
Puebla PUE 72220
MX",2022-11-09 23:19:14 UTC,Amaranta Hernández,SRID=4326;POINT(-98.168082498 19.0732125097),19.07321251,-98.1680825,11:00,XU-58-302,Pepsi ,Delivery,Heavy duty truck,https://web.fulcrumapp.com/photos/view?photos=fae31521-2664-401b-84ec-dcc8c4333e60,Street - next to the curbside,no,no,Side,no,no,no,no
135,2.0,0.0,0,0,0,"60 Avenida Adolfo López Mateos
Heroica Puebla de Zaragoza Puebla 72210
México",2022-11-09 23:13:44 UTC,Benjamin Barbosa,SRID=4326;POINT(-98.1736208 19.0741106),19.0741106,-98.1736208,14:45,SN47814,CAMPRA,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=b6b59631-b9ee-4892-b509-c6a87c6c7b54,Street - next to the curbside,no,no,Rear,no,no,no,no
