,number_of_customers_in_store,number_of_suppliers_in_store,number_of_cases_boxes_delivered,_child_record_id,_record_id,_parent_id,_title,_version,_created_at,_updated_at,_created_by,_updated_by,_index,_geometry,_latitude,_updated_duration,name_of_the_store,entering_the_store,picture_cargo_being_delivered,picture_cargo_being_delivered_captions,picture_cargo_being_delivered_captions,leaving_the_store
13,1.0,3.0,8.0,044b47df-e630-4ca7-ac15-2ba322760aae,e3de2e0f-79f4-4698-a6e4-064aa921a5fb,e3de2e0f-79f4-4698-a6e4-064aa921a5fb,Gaspachos Morelianos,1,2022-11-10 17:35:22 UTC,2022-11-10 17:36:41 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,0,SRID=4326;POINT(-98.27405971141629 18.999429285141723),18.99942929,78,Gaspachos Morelianos,11:35,https://web.fulcrumapp.com/photos/view?photos=d131f96e-7cd0-421a-95b5-3fa6b8bad3dd,0,0,11:55
14,2.0,1.0,2.0,98e21e5a-b7cc-4314-813e-b4cd016fbe67,75037107-c676-446a-ba1d-ab04881a6f67,75037107-c676-446a-ba1d-ab04881a6f67,Factory Blinds ,1,2022-11-10 17:35:17 UTC,2022-11-10 17:36:04 UTC,José López,José López,0,SRID=4326;POINT(-98.27407890055497 18.9994257134666),18.99942571,46,Factory Blinds ,11:35,https://web.fulcrumapp.com/photos/view?photos=314ac6b1-4d10-41d0-9166-069930e4d803,0,0,11:40
15,2.0,1.4,10.0,eb6170a1-74f1-4dca-ba9b-53614e8ce1e9,3b3b959a-bc54-4825-8d79-f8e957a0355b,3b3b959a-bc54-4825-8d79-f8e957a0355b,Cabo San Lucas,1,2022-11-10 17:25:17 UTC,2022-11-10 17:26:07 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,0,SRID=4326;POINT(-98.26567356599786 19.00608812417122),19.00608812,50,Cabo San Lucas,11:31,0,0,0,11:38
16,0.0,2.0,6.0,83fd3b7d-52b4-45d0-8f25-df98b6229aed,1464422d-78c5-4cfa-afa6-5bf569e882d2,1464422d-78c5-4cfa-afa6-5bf569e882d2,Postrecitos lindos ,1,2022-11-10 17:21:02 UTC,2022-11-10 17:21:59 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,0,SRID=4326;POINT(-98.2656817442499 19.006137038597203),19.00613704,56,Postrecitos lindos ,11:30,0,0,0,11:38
17,0.0,1.0,2.0,e45b69e0-5250-403b-a1f4-54daf1427ff8,98008626-eea4-4f9a-ab80-de6e7c716207,98008626-eea4-4f9a-ab80-de6e7c716207,Stop by ramen ,1,2022-11-10 17:20:56 UTC,2022-11-10 17:21:37 UTC,José López,José López,0,SRID=4326;POINT(-98.26567025179664 19.006115003328492),19.006115,41,Stop by ramen ,11:21,https://web.fulcrumapp.com/photos/view?photos=6b7a1efa-8b72-446f-b276-2b21e185e51a,0,0,11:30
18,3.0,1.0,4.0,7c0e3d41-b490-4940-8286-15fa3d8a5726,897dd608-be28-4337-b503-5dc70df1e2de,897dd608-be28-4337-b503-5dc70df1e2de,Súper boom,1,2022-11-10 17:11:09 UTC,2022-11-10 17:11:51 UTC,José López,José López,0,SRID=4326;POINT(-98.2665018576936 19.004100753684952),19.00410075,41,Súper boom,11:11,https://web.fulcrumapp.com/photos/view?photos=35300f8d-7977-417c-8aab-762366d83ff0,0,0,11:14
19,2.0,1.0,2.0,1788e007-9b6b-4cc4-aaf7-35d1b8143f32,f9dd984b-722a-4c26-aaef-d8ad2dff57b6,f9dd984b-722a-4c26-aaef-d8ad2dff57b6,Trípoli ,1,2022-11-10 17:05:04 UTC,2022-11-10 17:06:25 UTC,José López,José López,0,SRID=4326;POINT(-98.2664907961389 19.004110110773915),19.00411011,81,Trípoli ,10:43,https://web.fulcrumapp.com/photos/view?photos=0ca0bc05-71fd-4177-a89f-853bbb1ea72d,0,0,11:56
20,4.0,3.0,6.0,c98cae40-7553-4755-a0f8-a51fbe275d12,94b03890-ef1b-4e87-bf0d-42bb64babb73,94b03890-ef1b-4e87-bf0d-42bb64babb73,La Medina,1,2022-11-10 17:01:02 UTC,2022-11-10 17:02:19 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,0,SRID=4326;POINT(-98.26618774968892 19.004502868441776),19.00450287,76,La Medina,11:08,https://web.fulcrumapp.com/photos/view?photos=1c13931e-56d1-4568-a60e-9467d8406ff8,0,0,11:25
21,4.0,2.0,5.0,348702bf-ec37-436e-ba06-fe8e54abab13,0494e54e-1037-4788-9e37-b6bab949011b,0494e54e-1037-4788-9e37-b6bab949011b,Súper boom ,1,2022-11-10 17:00:44 UTC,2022-11-10 17:01:25 UTC,José López,José López,0,SRID=4326;POINT(-98.26620398606103 19.004480731987954),19.00448073,40,Súper boom ,11:00,https://web.fulcrumapp.com/photos/view?photos=d7b48f57-477f-473f-b031-3e67cd1b5936,0,0,11:20
22,0.0,1.0,2.0,383c55fc-f202-4a79-9425-eb7122d5e5e3,49b79862-d297-4391-bc6e-3e6d8b32d54a,49b79862-d297-4391-bc6e-3e6d8b32d54a,La Voila ,1,2022-11-10 16:47:11 UTC,2022-11-10 16:48:20 UTC,José López,José López,0,SRID=4326;POINT(-98.27483802479486 18.999598295169204),18.9995983,68,La Voila ,10:47,https://web.fulcrumapp.com/photos/view?photos=dbe1e74e-4a9f-4c4e-bd33-3e8d6d287311,0,0,11:02
23,0.0,2.0,5.0,9b280ed5-61df-497d-8f64-7b847a08e0ea,be7db0e0-83ad-4486-aa8f-7d31402c2b92,be7db0e0-83ad-4486-aa8f-7d31402c2b92,Abastessen,1,2022-11-10 16:37:01 UTC,2022-11-10 16:38:01 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,0,SRID=4326;POINT(-98.27189571866822 19.00184227420202),19.00184227,60,Abastessen,10:50,https://web.fulcrumapp.com/photos/view?photos=c33cb948-cdff-4b7c-83b7-319d9482b855,0,0,11:10
24,2.0,1.0,2.0,17b5c8ed-6501-43bc-b16f-5008cdeb95d7,27bd6132-61df-496d-b780-9db89359dfc8,27bd6132-61df-496d-b780-9db89359dfc8,La central ,1,2022-11-10 16:36:26 UTC,2022-11-10 16:37:10 UTC,José López,José López,0,SRID=4326;POINT(-98.27208717829416 19.00173048036127),19.00173048,43,La central ,10:35,https://web.fulcrumapp.com/photos/view?photos=e659eb18-f313-4c1f-b81d-45376cadb617,0,0,11:00
25,1.0,2.0,3.0,1143e8d5-91ca-4d13-9a25-6f1b728bb91b,e648abf8-df90-46a2-af06-ee5d9662078d,e648abf8-df90-46a2-af06-ee5d9662078d,Súper Boom,1,2022-11-10 16:23:43 UTC,2022-11-10 16:25:17 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,0,SRID=4326;POINT(-98.26648594336065 19.005120083105336),19.00512008,94,Súper Boom,10:32,https://web.fulcrumapp.com/photos/view?photos=fe6466c3-efd0-43ef-bdc3-c710bce8cd91,0,0,10:46
26,0.0,2.0,4.0,b0f64dbe-1ef5-415a-a91a-c470c255b68d,cfb746bd-5e38-4361-9f45-be1af04f11da,cfb746bd-5e38-4361-9f45-be1af04f11da,Tripoli ,1,2022-11-10 16:18:50 UTC,2022-11-10 16:19:47 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,0,SRID=4326;POINT(-98.26759626535545 19.00565243339718),19.00565243,57,Tripoli ,09:32,https://web.fulcrumapp.com/photos/view?photos=12143632-85df-42e1-9eba-c8e5dce5f04e,0,0,10:11
27,0.0,1.0,4.0,f1c82664-47a4-480f-a242-bfa2d81c0d07,a626a0df-ca03-4bc9-b0c7-9d1df43daafa,a626a0df-ca03-4bc9-b0c7-9d1df43daafa,Nussett,1,2022-11-10 16:14:35 UTC,2022-11-10 16:16:12 UTC,José López,José López,0,SRID=4326;POINT(-98.26761701153431 19.005691981889438),19.00569198,97,Nussett,10:14,https://web.fulcrumapp.com/photos/view?photos=83b0b9a0-4f5c-4f42-9df8-60a9d8ab1a86,0,0,10:30
28,1.0,0.0,2.0,613cb0b4-7aa9-478b-a8bd-f80b31ff18e4,119a1eaf-2d72-4792-94dd-23451e9daaec,119a1eaf-2d72-4792-94dd-23451e9daaec,Tamales Don Ignacio ,1,2022-11-10 15:39:35 UTC,2022-11-10 15:41:17 UTC,José López,José López,0,SRID=4326;POINT(-98.26677136261554 19.00407882201115),19.00407882,2,Tamales Don Ignacio ,09:40,https://web.fulcrumapp.com/photos/view?photos=ca85075d-445c-460f-8578-2668d5bdea03,0,0,09:57
29,0.0,1.0,2.0,e00ade25-e31b-410f-aed1-0aea780ea3ff,dda5dde0-71ac-4d49-a19d-f9194bf76666,dda5dde0-71ac-4d49-a19d-f9194bf76666,Aqua clyva,1,2022-11-09 22:02:13 UTC,2022-11-09 22:08:11 UTC,Juan Spínola,Juan Spínola,0,SRID=4326;POINT(-98.2493349482064 19.02668825832213),19.02668826,309,Aqua clyva,16:02,0,0,0,16:08
30,3.0,1.0,4.0,7a620a44-774b-49ca-b340-b905328703d3,28a2af8e-8b1d-4acf-a077-0945049e826c,28a2af8e-8b1d-4acf-a077-0945049e826c,San Juditas ,1,2022-11-09 22:14:50 UTC,2022-11-09 22:21:12 UTC,Luis Lara,Luis Lara,0,SRID=4326;POINT(-98.24903089562268 19.025176134906843),19.02517613,382,San Juditas ,16:15,https://web.fulcrumapp.com/photos/view?photos=88dfa7ea-ef50-48b4-bb97-1dc4540e401e,0,0,16:21
31,1.0,2.0,5.0,871dc2b3-f27e-47c9-9e8e-cdc64650cd6c,1c566bed-bbc4-47a7-88d2-8d00dc535bcf,1c566bed-bbc4-47a7-88d2-8d00dc535bcf,Tecate ,1,2022-11-09 20:51:52 UTC,2022-11-09 20:58:07 UTC,Luis Lara,Luis Lara,0,SRID=4326;POINT(-98.24979091394776 19.030838541783446),19.03083854,1,Tecate ,14:52,https://web.fulcrumapp.com/photos/view?photos=99bad4b0-542f-4dcf-8d87-2d35ef2bcbd9,0,0,14:58
32,1.0,2.0,1.0,35f6404a-50cf-4064-84fa-0040c3abc3ad,8f7775ce-161e-47ae-8f03-063ecac52fc8,8f7775ce-161e-47ae-8f03-063ecac52fc8,Tecate ,1,2022-11-09 20:50:07 UTC,2022-11-09 20:56:59 UTC,Juan Spínola,Juan Spínola,0,SRID=4326;POINT(-98.2499070999736 19.030742816166534),19.03074282,336,Tecate ,14:52,0,0,0,14:56
33,4.0,1.0,2.0,06f95065-77e8-4de8-9462-edfb34800898,227091c9-d136-428b-b0dd-f205f0675832,227091c9-d136-428b-b0dd-f205f0675832,San Juditas,1,2022-11-09 20:30:37 UTC,2022-11-09 20:33:26 UTC,Juan Spínola,Juan Spínola,0,SRID=4326;POINT(-98.2490547691168 19.02515603434825),19.02515603,168,San Juditas,14:30,https://web.fulcrumapp.com/photos/view?photos=364194e8-1b17-41f6-9557-ec2a304bdbd6,0,0,14:32
34,0.0,1.0,1.0,dd49ed79-b980-462e-98e7-d7abd6c1cbb4,ae8ea7eb-e3f3-4d44-926e-6205f04cf6e5,ae8ea7eb-e3f3-4d44-926e-6205f04cf6e5,Six,1,2022-11-09 18:01:35 UTC,2022-11-09 18:02:38 UTC,Diego Galicia Lugo,Diego Galicia Lugo,0,SRID=4326;POINT(-100.27416228457146 25.60954603437569),25.60954603,62,Six,11:47,0,0,0,11:50
